manga_name,manga_synonym,manga_japanese,manga_english,manga_type,manga_volume,manga_chapters,manga_status,manga_published,manga_genre,manga_theme,manga_demographic,manga_serialization,manga_author,manga_score,manga_ranked,manga_popularity,manga_members,manga_favorites
Hotarubi no Mori e,"Into the Forest of Fireflies' Light, Hanauta Nagaruru, Kurukuru Ochiba, Hibi, Fukaku",蛍火の杜へ,,Manga,1,4,Finished,"Jun  10, 2002 to Mar  24, 2003",RomanceRomance,IyashikeiIyashikei,ShoujoShoujo,LaLa,"Midorikawa, Yuki(Story & Art)","8.041(scored by98759,875 users)1indicates aweighted score.",#72022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#968,"22,124",285
Megumi no Daigo,"Me Kumi no Daigo, Me-gumi no Daigo, Siren",め組の大吾,Firefighter! Daigo of Fire Company M,Manga,20,182,Finished,"Aug  23, 1995 to Jun  2, 1999","ActionAction,Award WinningAward Winning,DramaDrama",,ShounenShounen,Shounen Sunday,"Soda, Masahito(Story & Art)",8.041(scored by858858 users)1indicates aweighted score.,#72122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5884,"4,072",66
Yamamoto Zenjirou to Moushimasu,"I Am Called Yamamoto Zenjirou, Aishite Nai, Love You Not",山本善次朗と申します,,Manga,5,20,Finished,"Feb  2007 to Aug  17, 2011","DramaDrama,RomanceRomance,SupernaturalSupernatural",ChildcareChildcare,ShoujoShoujo,Ribon Mascot,"Maki, Youko(Story & Art)","8.041(scored by25062,506 users)1indicates aweighted score.",#72222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3409,"7,262",84
Chichi no Koyomi,My Father's Journal,父の暦,A Journal of My Father,Manga,1,12,Finished,"Apr  9, 1994 to Sep  24, 1994",Slice of LifeSlice of Life,,SeinenSeinen,Big Comic,"Taniguchi, Jiro(Story & Art)","8.041(scored by23142,314 users)1indicates aweighted score.",#72322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2960,"8,343",115
Saraiya Goyou,,さらい屋五葉,House of Five Leaves,Manga,8,59,Finished,"Nov  25, 2005 to Jul  24, 2010",DramaDrama,"Adult CastAdult Cast,HistoricalHistorical,SamuraiSamurai",SeinenSeinen,Ikki,"Ono, Natsume(Story & Art)","8.041(scored by20552,055 users)1indicates aweighted score.",#72422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2108,"11,406",205
Gakkougurashi!,,がっこうぐらし！,School-Live!,Manga,12,78,Finished,"May  24, 2012 to Nov  22, 2019","HorrorHorror,MysteryMystery,Slice of LifeSlice of Life,SuspenseSuspense","PsychologicalPsychological,SchoolSchool,SurvivalSurvival",,Manga Time Kirara Forward,"Kaihou, Norimitsu(Story),Chiba, Sadoru(Art)","8.041(scored by2200622,006 users)1indicates aweighted score.",#72522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#318,"58,677","3,066"
Tanaka-kun wa Itsumo Kedaruge,,田中くんはいつもけだるげ,Tanaka-kun Is Always Listless,Manga,13,145,Finished,"Jul  25, 2013 to Jul  25, 2019",Slice of LifeSlice of Life,"IyashikeiIyashikei,SchoolSchool",,Gangan Online,"Uda, Nozomi(Story & Art)","8.041(scored by96749,674 users)1indicates aweighted score.",#72622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#671,"30,741",752
Josee to Tora to Sakana-tachi,,ジョゼと虎と魚たち,"Josee, the Tiger and the Fish",Manga,2,11,Finished,"Jan  6, 2020 to Oct  6, 2020","DramaDrama,RomanceRomance",Visual ArtsVisual Arts,,Da Vinci,"Emoto, Nao(Art),Tanabe, Seiko(Story)","8.041(scored by28892,889 users)1indicates aweighted score.",#72722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2712,"9,020",113
Ultra Heaven,,ウルトラヘヴン,Ultra Heaven,Manga,3,25,On Hiatus,"Jun  12, 2001 to Oct  10, 2009","Avant GardeAvant Garde,DramaDrama,Sci-FiSci-Fi",PsychologicalPsychological,SeinenSeinen,Comic Beam,"Koike, Keiichi(Story & Art)","8.031(scored by44754,475 users)1indicates aweighted score.",#72822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#950,"22,545",543
Ran to Haiiro no Sekai,"Ran and the Grey World, Ran and the Ash-Coloured World, Gray And Wonder Around Her",乱と灰色の世界,Ran and the Gray World,Manga,7,51,Finished,"Dec  15, 2008 to Apr  15, 2015","DramaDrama,FantasyFantasy,RomanceRomance,SupernaturalSupernatural",,SeinenSeinen,Fellows!,"Irie, Aki(Story & Art)","8.031(scored by83598,359 users)1indicates aweighted score.",#72922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#629,"32,470",833
Kokoro Connect,Kokoroco,ココロコネクト,Kokoro Connect,Light Novel,11,91,Finished,"Jan  30, 2010 to Sep  30, 2013","ComedyComedy,DramaDrama,RomanceRomance,Slice of LifeSlice of Life,SupernaturalSupernatural","Love PolygonLove Polygon,SchoolSchool",,None,"Horiguchi, Yukiko(Art),Anda, Sadanatsu(Story)","8.031(scored by28172,817 users)1indicates aweighted score.",#73022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1889,"12,796",252
Zoku Hoshi Mamoru Inu,"Stargazing Dog, Star Protector Dog",続・星守る犬,,Manga,1,4,Finished,"Jul  21, 2009 to Nov  2, 2009",Slice of LifeSlice of Life,PetsPets,SeinenSeinen,Manga Action,"Murakami, Takashi(Story & Art)","8.031(scored by38683,868 users)1indicates aweighted score.",#73122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3177,"7,800",69
Yamada-kun to 7-nin no Majo,"Yamada-kun to Nananin no Majo, 7 Witches, Maou no Kyoushitsu, The Devil's Classroom",山田くんと7人の魔女,Yamada-kun and the Seven Witches,Manga,28,246,Finished,"Feb  22, 2012 to Feb  22, 2017","ComedyComedy,MysteryMystery,RomanceRomance,SupernaturalSupernatural","HaremHarem,SchoolSchool",ShounenShounen,Shounen Magazine (Weekly),"Yoshikawa, Miki(Story & Art)","8.031(scored by5660356,603 users)1indicates aweighted score.",#73222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#119,"123,839","5,278"
Ghost Hunt: Akumu no Sumu Ie,"The House in Which Nightmares Dwell, The House of Nightmares Ghost Hunt",悪夢の棲む家 ゴーストハント,,Manga,3,23,Finished,"Jul  28, 2012 to Jul  28, 2016","HorrorHorror,MysteryMystery,SupernaturalSupernatural",,ShoujoShoujo,ARIA,"Inada, Shiho(Art),Ono, Fuyumi(Story)","8.031(scored by16411,641 users)1indicates aweighted score.",#73322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4792,"5,107",53
Kubera,One Last God Kubera,쿠베라,,Manhwa,Unknown,Unknown,Publishing,"Feb  7, 2010 to ?","ActionAction,AdventureAdventure,ComedyComedy,FantasyFantasy,RomanceRomance",,,Naver Webtoon,Currygom(Story & Art),"8.031(scored by40544,054 users)1indicates aweighted score.",#73422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1455,"15,818",525
Higurashi no Naku Koro ni - Dai 2-wa: Watanagashi-hen,Higurashi When They Cry: Cotton Drifting Arc,ひぐらしのなく頃に 第二話～綿流し編～,,Light Novel,2,12,Finished,"Oct  1, 2007 to Nov  1, 2007","DramaDrama,HorrorHorror,MysteryMystery",,,None,"Ryukishi07(Story),Tomohi(Art)",8.031(scored by772772 users)1indicates aweighted score.,#73522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#10201,"2,092",56
Kono Subarashii Sekai ni Shukufuku wo!,,この素晴らしい世界に祝福を！,KonoSuba: God's Blessing on This Wonderful World!,Manga,Unknown,Unknown,Publishing,"Sep  9, 2014 to ?","AdventureAdventure,ComedyComedy,FantasyFantasy","IsekaiIsekai,ParodyParody",ShounenShounen,Dragon Age,"Watari, Masahito(Art),Akatsuki, Natsume(Story)","8.031(scored by77007,700 users)1indicates aweighted score.",#73622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#746,"27,921",788
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,"ReZero Dainishou: Yashiki no Isshuukan-hen, Re: Life in a Different World from Zero: The Tale of ""1 Week""",Re：ゼロから始める異世界生活 第二章 屋敷の一週間編,"Re:ZERO -Starting Life in Another World-, Chapter 2: A Week at the Mansion",Manga,5,31,Finished,"Oct  25, 2014 to Oct  25, 2017","DramaDrama,FantasyFantasy,SuspenseSuspense","IsekaiIsekai,PsychologicalPsychological,Time TravelTime Travel",SeinenSeinen,Big Gangan,"Fuugetsu, Makoto(Art),Nagatsuki, Tappei(Story)","8.031(scored by62076,207 users)1indicates aweighted score.",#73722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1446,"15,881",177
Fate/strange Fake,,Fate/strange Fake,,Manga,Unknown,Unknown,Publishing,"Jan  10, 2015 to ?","ActionAction,FantasyFantasy,SupernaturalSupernatural",,,None,"Narita, Ryohgo(Story),Morii, Shizuki(Art)","8.031(scored by24722,472 users)1indicates aweighted score.",#73822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2426,"9,888",215
Fate/stay night: Heaven's Feel,,Fate/stay night [Heaven's Feel],,Manga,Unknown,Unknown,Publishing,"May  2, 2015 to ?","ActionAction,FantasyFantasy,SupernaturalSupernatural",,SeinenSeinen,Young Ace,"Type-Moon(Story),Ohna, Task(Art)","8.031(scored by21732,173 users)1indicates aweighted score.",#73922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2582,"9,405",178
Konjiki no Gash!! 2,Zatch Bell!! 2,金色のガッシュ!! 2,,Manga,Unknown,Unknown,Publishing,"Mar  14, 2022 to ?","ActionAction,AdventureAdventure,ComedyComedy,SupernaturalSupernatural",,,None,"Raiku, Makoto(Story & Art)","8.031(scored by10351,035 users)1indicates aweighted score.",#74022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5535,"4,344",54
Mother's Contract Marriage,"My Mother Gets Married Again, My Mother Got Married by Contract, My Mom Entered a Contract Marriage",엄마가 계약결혼 했다,Mother's Contract Marriage,Manhwa,Unknown,Unknown,Publishing,"Dec  23, 2022 to ?",FantasyFantasy,Time TravelTime Travel,,KakaoPage,"Choo, Hae-Yun(Art),Siya(Story)","8.031(scored by17671,767 users)1indicates aweighted score.",#74122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3587,"6,882",86
Lout of Count's Family,"Trash of the Count's Family, Baekjakga-ui Mangnani-ga Doeeotda",백작가의 망나니가 되었다,Lout of Count's Family,Novel,Unknown,Unknown,Publishing,"Aug  25, 2022 to ?",FantasyFantasy,"IsekaiIsekai,ReincarnationReincarnation",,None,"Yu, Ryeo Han(Story)",8.031(scored by475475 users)1indicates aweighted score.,#74222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12536,"1,608",116
Rough,,ラフ,,Manga,12,119,Finished,1987 to  1989,"ComedyComedy,DramaDrama,RomanceRomance,SportsSports","SchoolSchool,Team SportsTeam Sports",ShounenShounen,Shounen Sunday,"Adachi, Mitsuru(Story & Art)","8.031(scored by33183,318 users)1indicates aweighted score.",#74322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2981,"8,284",158
Higurashi no Naku Koro ni: Tatarigoroshi-hen,Higurashi no Naku Koro ni Tatarigoroshihen,ひぐらしのなく頃に 祟殺し編,Higurashi WHEN THEY CRY: Curse Killing Arc,Manga,2,13,Finished,"May  18, 2005 to May  18, 2006","DramaDrama,HorrorHorror,MysteryMystery",PsychologicalPsychological,ShounenShounen,GFantasy,"Suzuki, Jirou(Art),Ryukishi07(Story)","8.031(scored by76537,653 users)1indicates aweighted score.",#74422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1378,"16,307",143
Hidamari Sketch,HidaSke,ひだまりスケッチ,Sunshine Sketch,Manga,Unknown,Unknown,Publishing,"Feb  28, 2004 to ?","ComedyComedy,Slice of LifeSlice of Life","CGDCTCGDCT,IyashikeiIyashikei,SchoolSchool,Visual ArtsVisual Arts",,Manga Time Kirara Carat,"Aoki, Ume(Story & Art)","8.031(scored by18181,818 users)1indicates aweighted score.",#74522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2919,"8,459",353
Devilman,Devilman: The Classic Collection,デビルマン,Devilman,Manga,5,53,Finished,"Jun  11, 1972 to Jun  24, 1973","ActionAction,AdventureAdventure,DramaDrama,FantasyFantasy,HorrorHorror,Sci-FiSci-Fi,SupernaturalSupernatural","MythologyMythology,PsychologicalPsychological,Super PowerSuper Power",ShounenShounen,Shounen Magazine (Weekly),"Nagai, Go(Story & Art)","8.031(scored by2616626,166 users)1indicates aweighted score.",#74622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#302,"61,503","3,634"
Full Moon wo Sagashite,"Searching for the Full Moon, Ginyuu Meika, Mangetsu wo Sagashite",満月〈フルムーン〉をさがして,Full Moon wo Sagashite,Manga,7,35,Finished,"Dec  1, 2001 to Apr  30, 2004","ComedyComedy,DramaDrama,FantasyFantasy,RomanceRomance,SupernaturalSupernatural","MusicMusic,ShowbizShowbiz",ShoujoShoujo,Ribon Magazine,"Tanemura, Arina(Story & Art)","8.021(scored by1969019,690 users)1indicates aweighted score.",#74722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#496,"40,608","1,946"
Gosick,,GOSICK -ゴシック-,Gosick,Light Novel,9,Unknown,Finished,"Dec  10, 2003 to Jul  23, 2011","DramaDrama,MysteryMystery,RomanceRomance","HistoricalHistorical,SchoolSchool",ShounenShounen,None,"Sakuraba, Kazuki(Story),Takeda, Hinata(Art)","8.021(scored by16061,606 users)1indicates aweighted score.",#74822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2968,"8,322",135
Worst,,WORST ワースト,Worst,Manga,33,131,Finished,"Sep  6, 2001 to Jul  5, 2013","ActionAction,ComedyComedy","DelinquentsDelinquents,SchoolSchool",ShounenShounen,Shounen Champion (Monthly),"Takahashi, Hiroshi(Story & Art)","8.021(scored by52155,215 users)1indicates aweighted score.",#74922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1386,"16,280",348
Vassalord.,Zoul Half,Vassalord. (ヴァッサロード),Vassalord.,Manga,7,36,Finished,"Nov  17, 2004 to Feb  15, 2013","ActionAction,Boys LoveBoys Love,ComedyComedy,FantasyFantasy,MysteryMystery,SupernaturalSupernatural",VampireVampire,ShoujoShoujo,Comic Blade Zebel,"Chrono, Nanae(Story & Art)","8.021(scored by56515,651 users)1indicates aweighted score.",#75022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1254,"17,751",591
Oboreru Knife,Drowning Knife,溺れるナイフ,Drowning Love,Manga,17,64,Finished,"Oct  13, 2004 to Dec  13, 2013","DramaDrama,RomanceRomance","Love PolygonLove Polygon,SchoolSchool,ShowbizShowbiz",ShoujoShoujo,Bessatsu Friend,"George, Asakura(Story & Art)","8.021(scored by22042,204 users)1indicates aweighted score.",#75122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2577,"9,415",292
Adekan,,艶漢,Adekan,Manga,Unknown,Unknown,Publishing,"Jul  14, 2007 to ?",ActionAction,HistoricalHistorical,ShoujoShoujo,Wings,"Nao, Tsukiji(Story & Art)","8.021(scored by23622,362 users)1indicates aweighted score.",#75222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2101,"11,428",412
Restart wa Onaka wo Sukasete,Restart Can Be Hungry,リスタートはおなかをすかせて,Restart After Growing Hungry,Manga,1,6,Finished,"Dec  27, 2019 to Aug  28, 2020","Boys LoveBoys Love,Slice of LifeSlice of Life",,,Canna,Cocomi(Story & Art),"8.021(scored by18971,897 users)1indicates aweighted score.",#75322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4888,"4,999",40
Seasons of Lovesome,"Youth Lovesome, Cheongchun Lovesome",청춘 러브썸,Seasons of Lovesome,Manhwa,Unknown,Unknown,Publishing,"Aug  12, 2024 to ?",RomanceRomance,,,Naver Webtoon,"Hongduck(Story),NEMONE(Art)",8.021(scored by677677 users)1indicates aweighted score.,#75422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8495,"2,631",30
The Dawn to Come,Just Twilight,그저 여명일 뿐,The Dawn to Come,Manhwa,5,69,Finished,"Aug  21, 2023 to May  11, 2025",RomanceRomance,,,None,"Woo, Jihye(Story),Kangki(Art)",8.021(scored by818818 users)1indicates aweighted score.,#75522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12439,"1,625",42
Cardcaptor Sakura: Clear Card-hen,,カードキャプターさくら クリアカード編,Cardcaptor Sakura: Clear Card,Manga,16,86,Finished,"Jun  3, 2016 to Mar  1, 2024","AdventureAdventure,ComedyComedy,FantasyFantasy,RomanceRomance",Mahou ShoujoMahou Shoujo,ShoujoShoujo,Nakayoshi,CLAMP(Story & Art),"8.021(scored by57585,758 users)1indicates aweighted score.",#75622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1173,"18,811",342
"Komi-san wa, Comyushou desu.","Komi-san wa, Communication Shougai desu.",古見さんは、コミュ症です。,Komi Can't Communicate,Manga,37,500,Finished,"May  18, 2016 to Jan  29, 2025","Award WinningAward Winning,ComedyComedy",SchoolSchool,ShounenShounen,Shounen Sunday,"Oda, Tomohito(Story & Art)","8.021(scored by108722108,722 users)1indicates aweighted score.",#75722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#29,"272,540","12,672"
The Male Lead's Little Lion Daughter,"I Became the Male Lead's Adopted Daughter, Namju-ui Ibyangttal-i Doeeotseumnida",남주의 입양딸이 되었습니다,The Male Lead's Little Lion Daughter,Manhwa,Unknown,Unknown,Publishing,"Aug  14, 2021 to ?","DramaDrama,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Latine(Story),Ttona(Art)","8.021(scored by40354,035 users)1indicates aweighted score.",#75822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1784,"13,445",210
Kono Koi wo Hoshi ni wa Negawanai,,この恋を星には願わない,There Is No Love Wishing Upon a Star.,Manga,Unknown,Unknown,Publishing,"Feb  10, 2023 to ?","DramaDrama,Girls LoveGirls Love",,,Comic it,Shinoa(Story & Art),8.021(scored by698698 users)1indicates aweighted score.,#75922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6785,"3,459",78
Chameleon wa Tenohira ni Koi wo Suru.,Bloom on Your Sign like a Chameleon.,カメレオンはてのひらに恋をする。,Love in the Palm of His Hand,Manga,Unknown,Unknown,Publishing,"Jan  1, 2023 to ?",Boys LoveBoys Love,,,None,"Rin, Teku(Story & Art)",8.021(scored by328328 users)1indicates aweighted score.,#76022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#14048,"1,372",26
Kagerou Daze,"Kagerou Days, Heat-Haze Days",カゲロウデイズ,Kagerou Daze,Light Novel,8,81,Finished,"May  30, 2012 to Dec  29, 2017","ComedyComedy,Sci-FiSci-Fi",,,None,"Jin(Story),Sidu(Art)","8.021(scored by29072,907 users)1indicates aweighted score.",#76122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1747,"13,662",958
Nekota no Koto ga Kininatte Shikatanai.,"Retake!, Kumori Sora, Ue no Hou., Chounouryoku Shoujo Clane, Hoshikuzu yori Ai wo Komete",猫田のことが気になって仕方ない。,,Manga,10,49,Finished,"Apr  3, 2013 to Dec  28, 2016","ComedyComedy,RomanceRomance",SchoolSchool,ShoujoShoujo,Ribon Magazine,"Oouta, Rie(Story & Art)","8.021(scored by47374,737 users)1indicates aweighted score.",#76222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1958,"12,353",275
Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,Higurashi When They Cry: Curse Killing Arc,ひぐらしのなく頃に 第三話～祟殺し編～,,Light Novel,2,Unknown,Finished,Dec  2007 to Jan  2008,"DramaDrama,HorrorHorror,MysteryMystery",PsychologicalPsychological,,None,"Ryukishi07(Story),Tomohi(Art)",8.011(scored by654654 users)1indicates aweighted score.,#76322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#10832,"1,936",44
Imouto sae Ireba Ii.,It'd be Good if Only Little Sister Was Here,妹さえいればいい。,A Sister's All You Need.,Light Novel,14,206,Finished,"Mar  18, 2015 to Feb  18, 2020","ComedyComedy,RomanceRomance",,,None,"Hirasaka, Yomi(Story),Kantoku(Art)","8.011(scored by16791,679 users)1indicates aweighted score.",#76422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2183,"10,973",245
Kusuriya no Hitorigoto: Maomao no Koukyuu Nazotoki Techou,The Apothecary Diaries: Maomao's Notes from the Inner Palace,薬屋のひとりごと 猫猫の後宮謎解き手帳,,Manga,Unknown,Unknown,Publishing,"Aug  19, 2017 to ?","DramaDrama,MysteryMystery","HistoricalHistorical,MedicalMedical",SeinenSeinen,Sunday Gene-X,"Hyuuga, Natsu(Story),Kurata, Minoji(Art)",8.011(scored by587587 users)1indicates aweighted score.,#76522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5890,"4,070",44
Kakeochi Girl,,かけおちガール,"Run Away with Me, Girl",Manga,3,19,Finished,"Oct  25, 2018 to Feb  25, 2020","DramaDrama,Girls LoveGirls Love,Slice of LifeSlice of Life",,JoseiJosei,Hatsu Kiss,Battan(Story & Art),"8.011(scored by59005,900 users)1indicates aweighted score.",#76622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1526,"15,234",402
Zense Coupling,Past Life Coupling,前世カップリング,,Manga,7,61,Finished,"Apr  26, 2018 to Apr  16, 2020","RomanceRomance,SupernaturalSupernatural",ReincarnationReincarnation,,Palcy,"Kakitsubata, Waka(Story & Art)","8.011(scored by42674,267 users)1indicates aweighted score.",#76722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2162,"11,106",114
Tekkon Kinkreet,Black and White,鉄コン筋クリート,Tekkonkinkreet: Black & White,Manga,3,33,Finished,1993 to  1994,ActionAction,PsychologicalPsychological,SeinenSeinen,Big Comic Spirits,"Matsumoto, Taiyou(Story & Art)","8.011(scored by49254,925 users)1indicates aweighted score.",#76822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1249,"17,771",389
Bokurano,"Bokura no, Bokurano ~Mou Hitotsu no Bokurano~",ぼくらの,Bokurano: Ours,Manga,11,66,Finished,"Nov  25, 2003 to Jun  25, 2009","Award WinningAward Winning,DramaDrama,Sci-FiSci-Fi","MechaMecha,PsychologicalPsychological,SurvivalSurvival",SeinenSeinen,Ikki,"Kitoh, Mohiro(Story & Art)","8.011(scored by1226912,269 users)1indicates aweighted score.",#76922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#537,"37,053","1,181"
Vampire Juujikai,,ヴァンパイア十字界,The Record of a Fallen Vampire,Manga,9,44,Finished,"Aug  12, 2003 to Feb  10, 2007",SupernaturalSupernatural,VampireVampire,ShounenShounen,Shounen Gangan,"Shirodaira, Kyou(Story),Kimura, Yuri(Art)","8.011(scored by45814,581 users)1indicates aweighted score.",#77022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1726,"13,750",386
Shoukoku no Altair,"The Stratocracy of Altair, Anastasia no Shinei Taichou, Anastasia's Captain of the Guard, Rising Eagle of the General Nation",将国のアルタイル,Altair: A Record of Battles,Manga,27,165,Finished,"Jul  26, 2007 to Nov  25, 2023","ActionAction,Award WinningAward Winning,FantasyFantasy",MilitaryMilitary,ShounenShounen,Shounen Sirius,"Katou, Kotono(Story & Art)","8.011(scored by25102,510 users)1indicates aweighted score.",#77122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1443,"15,907",227
Boku no Hatsukoi wo Kimi ni Sasagu,"BokuKimi, Kare wa Ike mo Shinai Sarukoen wo Mezasu, Motto Ikitai..., I Give My First Love to You",僕の初恋をキミに捧ぐ,Secret Unrequited Love,Manga,12,71,Finished,"Aug  5, 2005 to Jul  5, 2008","Award WinningAward Winning,RomanceRomance,Slice of LifeSlice of Life",,ShoujoShoujo,Sho-Comi,"Aoki, Kotomi(Story & Art)","8.011(scored by95379,537 users)1indicates aweighted score.",#77222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#944,"22,817",412
Seiyuu Ka!,"Seiyu Kaa!, Seiyuu Ka-!, Seiyuka!",声優かっ!,Voice Over!: Seiyu Academy,Manga,12,70,Finished,"Jun  20, 2009 to Feb  5, 2013","DramaDrama,RomanceRomance","CrossdressingCrossdressing,SchoolSchool,ShowbizShowbiz",ShoujoShoujo,Hana to Yume,"Minami, Maki(Story & Art)","8.011(scored by70117,011 users)1indicates aweighted score.",#77322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1395,"16,227",324
Saiyuuki Reload Blast,,最遊記RELOAD BLAST,,Manga,Unknown,Unknown,Publishing,"Dec  28, 2009 to ?","ActionAction,AdventureAdventure,ComedyComedy,DramaDrama,FantasyFantasy",,JoseiJosei,Comic ZERO-SUM,"Minekura, Kazuya(Story & Art)",8.011(scored by746746 users)1indicates aweighted score.,#77422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5040,"4,809",34
Ouran Koukou Host Club Short Special,Ouran High School Host Club Short Special,桜蘭高校ホスト部,,One-shot,Unknown,1,Finished,Nov  2010,ComedyComedy,,,LaLa,"Hatori, Bisco(Story & Art)","8.011(scored by26012,601 users)1indicates aweighted score.",#77522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3744,"6,596",20
Kyoukaisenjou no Horizon,"Horizon on the Middle of Nowhere, Kyokai Senjou no Horizon, KyouHora, Genesis Series",境界線上のホライゾン,,Light Novel,29,872,Finished,"Sep  10, 2008 to Dec  7, 2018","ActionAction,ComedyComedy,FantasyFantasy,Sci-FiSci-Fi",SchoolSchool,,None,"Kawakami, Minoru(Story),Satoyasu(Art)",8.011(scored by821821 users)1indicates aweighted score.,#77622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3567,"6,934",105
Saint Seiya: The Lost Canvas - Meiou Shinwa Gaiden,,聖闘士星矢 THE LOST CANVAS 冥王神話 外伝,,Manga,16,90,Finished,"May  19, 2011 to Mar  12, 2016","AdventureAdventure,DramaDrama,FantasyFantasy",,ShounenShounen,Bessatsu Shounen Champion,"Kurumada, Masami(Story),Teshirogi, Shiori(Story & Art)","8.011(scored by22232,223 users)1indicates aweighted score.",#77722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4253,"5,815",156
Mahou Shoujo Madoka★Magica,"Mahou Shoujo Madoka Magica NitroPlus, Mahou Shoujo Madoka Magica: The Novel, Puella Magi Madoka★Magica: The Novel",魔法少女まどか★マギカ,,Light Novel,2,13,Finished,"Aug  14, 2011","DramaDrama,FantasyFantasy",Mahou ShoujoMahou Shoujo,SeinenSeinen,None,"Ninomae, Hajime(Story)",8.011(scored by979979 users)1indicates aweighted score.,#77822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5548,"4,330",58
Buttobi Itto,,風飛び一斗,,Manga,26,103,Finished,1999 to  2007,"ComedyComedy,SportsSports",Team SportsTeam Sports,ShounenShounen,Shounen Jump (Monthly),"Monma, Motoki(Story & Art)",8.011(scored by421421 users)1indicates aweighted score.,#77922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#16419,"1,100",21
Ajin,,亜人,Ajin: Demi-Human,Manga,17,84,Finished,"Jul  6, 2012 to Feb  5, 2021","ActionAction,HorrorHorror,MysteryMystery,SupernaturalSupernatural",GoreGore,SeinenSeinen,good! Afternoon,"Sakurai, Gamon(Story & Art),Miura, Tsuina(Story)","8.011(scored by5380953,809 users)1indicates aweighted score.",#78022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#85,"153,673","4,787"
Chichikogusa,Father and Child Grass,ちちこぐさ,,Manga,8,49,Finished,"Jan  15, 2013 to Mar  5, 2018",Slice of LifeSlice of Life,ChildcareChildcare,ShounenShounen,Comic Garden,"Tagawa, Mi(Story & Art)","8.011(scored by14741,474 users)1indicates aweighted score.",#78122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3294,"7,543",94
